main_set,current_subset,card_number,variant,card_count,card_ids,matched_subset,suggestion
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,89,Printing Plate,1,77176,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,89,Foilboard Hologram,1,80186,2020-21 Upper Deck Marvel Annual - Foilboard Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Foilboard Hologram"" (id 4142)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,100,Hologram,1,77128,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,100,Variant,1,77156,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,100,Foilboard Hologram,1,77241,2020-21 Upper Deck Marvel Annual - Foilboard Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Foilboard Hologram"" (id 4142)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,12,Hologram,1,77130,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,12,Printing Plate,1,77215,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,12,Variant,1,77267,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,13,Hologram,1,77126,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,13,Printing Plate,1,77212,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,13,Variant,1,80168,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,17,Hologram,1,77124,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,17,Variant,1,77140,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,17,Printing Plate,1,77224,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,2,Hologram,1,77208,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,2,Foilboard Hologram,1,80170,2020-21 Upper Deck Marvel Annual - Foilboard Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Foilboard Hologram"" (id 4142)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,2,Printing Plate,1,80172,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,20,Hologram,1,77199,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,20,Foilboard Hologram,1,77239,2020-21 Upper Deck Marvel Annual - Foilboard Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Foilboard Hologram"" (id 4142)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,20,Variant,1,77244,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,22,Hologram,1,77114,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,22,Variant,1,77285,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,22,Foilboard Hologram,1,80189,2020-21 Upper Deck Marvel Annual - Foilboard Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Foilboard Hologram"" (id 4142)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,25,Printing Plate,1,77152,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,25,Hologram,1,77223,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,25,Variant,1,77230,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,26,Hologram,1,77183,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,26,Printing Plate,1,77221,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,26,Variant,1,77261,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,36,Hologram,1,77206,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,36,Printing Plate,1,77226,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,36,Variant,1,77251,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,38,Hologram,1,77231,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,38,Printing Plate,1,77234,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,38,Variant,1,77263,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,40,Hologram,1,77110,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,40,Printing Plate,1,77216,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,40,Variant,1,77255,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,45,Hologram,1,77219,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,45,Printing Plate,1,77228,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,45,Variant,1,77286,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,49,Printing Plate,1,77151,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,49,Hologram,1,77184,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,49,Variant,1,77291,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,55,Hologram,1,77193,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,55,Printing Plate,1,77235,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,55,Variant,1,77280,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,58,Printing Plate,1,77101,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,58,Hologram,1,77205,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,58,Variant,1,77293,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,61,Hologram,1,77209,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,61,Printing Plate,1,77217,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,61,Variant,1,77275,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,66,Hologram,1,77172,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,66,Printing Plate,1,77238,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,66,Variant,1,77256,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,68,Hologram,1,77125,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,68,Foilboard Hologram,1,80178,2020-21 Upper Deck Marvel Annual - Foilboard Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Foilboard Hologram"" (id 4142)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,68,Printing Plate,1,80180,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,69,Hologram,1,77167,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,69,Variant,1,77248,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,69,Foilboard Hologram,1,80179,2020-21 Upper Deck Marvel Annual - Foilboard Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Foilboard Hologram"" (id 4142)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,78,Hologram,1,77202,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,78,Variant,1,77245,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,78,Printing Plate,1,80184,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,79,Hologram,1,77210,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,79,Foilboard Hologram,1,80182,2020-21 Upper Deck Marvel Annual - Foilboard Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Foilboard Hologram"" (id 4142)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,79,Printing Plate,1,80183,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Black"" (id 4151)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,8,Hologram,1,77153,2020-21 Upper Deck Marvel Annual - Hologram,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Hologram"" (id 4144)"
2020-21 Upper Deck Marvel Annual,2020-21 Upper Deck Marvel Annual - 2020-21 Upper Deck Marvel Annual,8,Variant,1,77282,2020-21 Upper Deck Marvel Annual - Base Variant Cover Set,"Move to existing subset ""2020-21 Upper Deck Marvel Annual - Base Variant Cover Set"" (id 4135)"
