main_set,subset,subset_id,card_number,copies,card_names,card_ids
1994 Fleer Marvel Masterpieces Hildebrandt Brothers,1994 Fleer Marvel Masterpieces Hildebrandt Brothers - Base,6973,138,2,Wrecker | Wrecker [Gold Foil Signature},"17900, 17901"
1994 Fleer Marvel Masterpieces Hildebrandt Brothers,1994 Fleer Marvel Masterpieces Hildebrandt Brothers - PowerBlast,2668,1,2,1994 Marvel Marvel Masterpieces PowerBlast 1 Apocalypse | Apocalypse,"18134, 183824"
1994 Ultra X-Men,1994 Ultra X Men,1183,124,2,Wedding of Cyclops & Jean Grey | X-Cutioner's Song,"18182, 18183"
1994 Ultra X-Men,1994 Ultra X Men,1183,126,2,Archangel vs. Apocalypse | Wedding of Cyclops & Jean Grey,"18185, 18186"
1994 Ultra X-Men,1994 Ultra X Men,1183,127,2,Cable vs. Deadpool | Magik,"18187, 18188"
1994 Ultra X-Men,1994 Ultra X Men,1183,128,2,Cable vs. Stryfe | Warlock,"18189, 18190"
1994 Ultra X-Men,1994 Ultra X Men,1183,129,2,Cable vs. Wolverine | Cypher,"18191, 18192"
1994 Ultra X-Men,1994 Ultra X-Men - 1994 Ultra X-Men,12180,124,2,Wedding of Cyclops & Jean Grey | X-Cutioner's Song,"530645, 530646"
1994 Ultra X-Men,1994 Ultra X-Men - 1994 Ultra X-Men,12180,126,2,Archangel vs. Apocalypse | Wedding of Cyclops & Jean Grey,"530648, 530649"
1994 Ultra X-Men,1994 Ultra X-Men - 1994 Ultra X-Men,12180,127,2,Cable vs. Deadpool | Magik,"530650, 530766"
1994 Ultra X-Men,1994 Ultra X-Men - 1994 Ultra X-Men,12180,128,2,Cable vs. Stryfe | Warlock,"530651, 530767"
1994 Ultra X-Men,1994 Ultra X-Men - 1994 Ultra X-Men,12180,129,2,Cable vs. Wolverine | Cypher,"530620, 530652"
1994 Ultra X-Men,1994 Ultra X-Men - Team Portrait,7288,1,2,Storm | StormPUZ,"18321, 108937"
1994 Ultra X-Men,1994 Ultra X-Men - Team Portrait,7288,2,2,Psylocke & Cyclops | Psylocke / Cyclops PUZ,"18322, 108938"
1994 Ultra X-Men,1994 Ultra X-Men - Team Portrait,7288,3,2,Beast & Jubilee | Beast / Jubilee PUZ,"18323, 108939"
1994 Ultra X-Men,1994 Ultra X-Men - Team Portrait,7288,4,2,Rogue & Archangel | Rogue / Archangel PUZ,"18324, 108940"
1994 Ultra X-Men,1994 Ultra X-Men - Team Portrait,7288,5,2,Wolverine | WolverinePUZ,"18325, 108941"
1994 Ultra X-Men,1994 Ultra X-Men - Team Portrait,7288,6,2,Professor X | Professor XPUZ,"18326, 108942"
1994 Ultra X-Men,1994 Ultra X-Men - Team Portrait,7288,7,2,Iceman & Sabretooth | Iceman / Sabretooth PUZ,"18327, 108943"
1994 Ultra X-Men,1994 Ultra X-Men - Team Portrait,7288,8,2,Gambit & Bishop | Gambit / Bishop PUZ,"18328, 108944"
1994 Ultra X-Men,1994 Ultra X-Men - Team Portrait,7288,9,2,Jean Grey | Jean GreyPUZ,"18329, 108945"
1994 Ultra X-Men,1994 Ultra X-Men - Team Triptych,7289,1,2,"Sabertooth & Rogue | X-Men Blue Team: Sabretooth, Rogue","18330, 140780"
1994 Ultra X-Men,1994 Ultra X-Men - Team Triptych,7289,2,2,"Cyclops, Beast, Jubilee | X-Men Blue Team: Cyclops, Beast, Jubilee","18331, 140781"
1994 Ultra X-Men,1994 Ultra X-Men - Team Triptych,7289,3,2,"Gambit & Psylocke | X-Men Blue Team: Gambit, Psylocke","18332, 140782"
1994 Ultra X-Men,1994 Ultra X-Men - Team Triptych,7289,4,2,Iceman | X-Men Gold Team: Iceman,"18333, 108946"
1994 Ultra X-Men,1994 Ultra X-Men - Team Triptych,7289,5,2,"Jean Grey, Archangel, Storm, Professor X | X-Men Gold Team: Jean Grey, Archangel, Storm, Professor X","18334, 140784"
1994 Ultra X-Men,1994 Ultra X-Men - Team Triptych,7289,6,2,Bishop | X-Men Gold Team: Bishop,"18335, 108947"
1994 Ultra X-Men,1994 Ultra X-Men - X-Men's Greatest Battles,7291,1,2,Cyclops & Jean Grey Vs. Calliso | Cyclops & Jean Grey vs. Callisto,"18315, 336602"
1995 Flair Marvel Annual,1995 Flair Marvel Annual - 1995 Flair Marvel Annual,2687,1,2,4 Card Uncut Card Promo Sheet | Jean Grey,"18610, 18611"
1995 Flair Marvel Annual,1995 Flair Marvel Annual - 1995 Flair Marvel Annual,2687,10,2,Sabertooth | Sabretooth,"18612, 18613"
1995 Flair Marvel Annual,1995 Flair Marvel Annual - HoloBlast,2691,10,2,Ghost Rider vs. Scarecrow | Ghostrider VS Scarecrow,"18776, 183958"
1995 Flair Marvel Annual,1995 Flair Marvel Annual - HoloBlast,2691,3,2,Spider-Man vs. Scarlet Spider | Spiderman VS Scarlet,"18780, 183951"
1995 Flair Marvel Annual,1995 Flair Marvel Annual - HoloBlast,2691,6,2,Venom vs. Demogoblin | Venom vs.Demogoblin,"18783, 183954"
1995 Fleer DC vs. Marvel Comics,1995 Fleer DC vs. Marvel Comics - Promos,2726,1,5,And Two Shall Become One | Batman | Boris Vallejo | Captain America | Julie Bell,"11451, 11452, 11453, 11454, 11455"
1995 Fleer Marvel Masterpieces,1995 Fleer Marvel Masterpieces - E-Motion Signature Series,2700,28,2,Doctor Doom | Dr. Doom,"19354, 184069"
1995 Fleer Marvel Masterpieces,1995 Fleer Marvel Masterpieces - E-Motion Signature Series,2700,29,2,Doctor Doom | Dr. Doom,"19355, 184070"
1995 Fleer Marvel Masterpieces,1995 Fleer Marvel Masterpieces - E-Motion Signature Series,2700,30,2,Doctor Doom | Dr. Doom,"19357, 184071"
1995 Fleer Marvel Masterpieces,1995 Fleer Marvel Masterpieces - E-Motion Signature Series,2700,67,2,Mister Sinister | Mr. Sinister,"19397, 184108"
1995 Fleer Marvel Masterpieces,1995 Fleer Marvel Masterpieces - E-Motion Signature Series,2700,68,2,Mister Sinister | Mr. Sinister,"19398, 184109"
1995 Fleer Marvel Masterpieces,1995 Fleer Marvel Masterpieces - E-Motion Signature Series,2700,69,2,Mister Sinister | Mr. Sinister,"19399, 184110"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man,1213,9,2,Burglar | Spider-Man,"19896, 19897"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - ClearChrome,11949,8,2,Shocker | The Shocker,"19915, 108956"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,10,3,Calypso | Glory Grant vs. the Zombie | Hobgoblin,"19918, 21539, 336658"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,11,2,Cardiac | Spider-Man,"21540, 336659"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,13,2,Carrion | Norman Osborne,"21542, 336661"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,14,2,Chakra | Hobgoblin,"21543, 336662"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,15,2,Chameleon | Ghost Rider,"21544, 336663"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,16,2,Chance | Spider-Man vs. Carrion,"19929, 21545"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,17,2,Coldheart | Spider-Man vs. Kaine,"21546, 336665"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,18,3,Daredevil | Demobgoblin | Demogoblin,"19930, 21547, 336666"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,19,2,Dr. Octopus | Hawkeye,"21548, 336667"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,2,2,Annex | Fortunato,"21549, 336650"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,20,2,Aunt May vs. Dr. Octopus | Doppelganger,"21550, 336668"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,21,2,Electro | Spider-Man,"21551, 336669"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,22,2,Bluebird | Female Symbiote,"21552, 336670"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,23,2,Batwing | Green Goblin,"21553, 336671"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,24,2,Grim Hunter | Scarecrow,"21554, 336672"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,25,2,Hammerhead | Radioactive Man,"19931, 21555"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,26,2,Hardshell | Spider-Man vs. Scorcher,"19932, 21556"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,27,2,Hobgoblin | Spider-Man vs. Sundown,"21557, 336675"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,28,2,Homo Arachnis | Spider-Man vs. Trapster,"19933, 21558"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,29,2,J. Jonah Jameson | Ka-Zar,"21559, 336677"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,3,2,Answer | Crown,"21560, 336651"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,30,2,Dr. Kafka vs. DK | Jackal,"21561, 336678"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,31,2,Judas Traveller | Spider-Man,"21562, 336679"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,32,2,Kaine | Molten Man,"19934, 21563"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,33,2,Black Cat | Kingpin,"21564, 336681"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,34,2,Kraven | Prowler,"21565, 336682"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,35,2,Lizard | Swarm,"21566, 336683"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,36,2,Man-Wolf | Spider-Man vs. Vulture,"21567, 336684"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,37,2,Mary Jane | Spider-Man vs. Electro,"21568, 336685"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,38,2,Molten Man | Spider-Man vs. Dr. Octopus,"19935, 21569"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,39,2,Mysterio | X-Man,"21570, 336687"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,4,2,Beetle | Hammerhead,"21571, 336652"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,40,2,Joe Robertson vs. Dragonfly | Nightwatch,"21572, 336688"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,41,2,Nocturne | Spider-Man,"21573, 336689"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,42,2,Carolyn Trainer | Owl,"19936, 21574"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,43,2,Delilah | Prowler,"19937, 21575"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,44,2,Elektra | Puma,"21576, 336692"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,45,2,Rhino | The Rose,"19938, 21577"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,46,2,Generation X | Sandman,"21578, 336694"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,47,2,Sandstorm | Thunderbolts,"21579, 336695"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,48,2,Scarlet Spider | Tombstone,"21580, 336696"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,49,2,Dracula | Scorpion,"19939, 21581"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,5,2,Black Cat | Shang-Chi: Master of Kung Fu,"21582, 336653"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,50,2,Shocker | Spider-Man vs. Doom-Bot,"21583, 336698"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,51,2,Shriek | Spider-Man vs. The Hulk,"21584, 336699"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,52,2,Doctor Strange | Sin-Eater,"21585, 336700"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,53,2,Solo | Spider-Man,"21586, 336701"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,54,2,Gwen Stacy | Stegron,"21587, 336702"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,55,2,Polestar | Strikeback,"21588, 336703"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,56,2,Joystick | Stunner,"21589, 336704"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,57,2,Spider-Man vs. Puma | Swarm,"21590, 336705"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,58,2,Spider-Man vs. Raptar | Tarantula,"21591, 336706"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,59,2,Silver Sable | Tombstone,"21592, 336707"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,6,2,Blood Rose | Spider-Man vs. the Sentinels,"21593, 336654"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,60,2,Betty Brant vs. Dreadknight | Venom,"19940, 21594"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,61,2,Spider-Man | Vermin,"21595, 336709"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,62,2,Cardiac | Vulture,"21596, 336710"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,63,2,Rocket Racer | Warrant,"21597, 336711"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,64,2,KravenLGC | Silvermane,"21598, 336712"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,65,2,ChameleonLGC | Shocker,"21599, 336713"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,66,2,Grim HunterLGC | Kingpin,"21600, 336714"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,67,2,CarrionLGC | Spider-Man vs. Venom,"21601, 336715"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,68,2,Spider-CloneLGC | Spider-Man vs. The Enforcers,"21602, 336716"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,69,2,JackalLGC | X-Men,"21603, 336717"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,7,2,Bloody Mary | Spider-Man vs. Morbius,"21604, 336655"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,70,2,J. Jonah Jameson vs. Scorpion | Spencer SmytheLGC,"21605, 336718"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,71,2,Spider-Man | Spider-SlayerLGC,"21606, 336719"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,72,2,Alistair SmytheLGC | Rhino,"21607, 336720"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,73,2,Jack O'LanternLGC | Kraven,"21608, 336721"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,74,2,HobgoblinLGC | Spider-Man vs. Legion of Losers,"21609, 336722"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,75,2,DemogoblinLGC | Spider-Man vs. Dragon Man,"21610, 336723"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,76,2,KingpinLGC | Mary Jane vs. Chameleon,"21611, 336724"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,77,2,SchemerLGC | Spider-Man,"21612, 336725"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,78,2,Blood RoseLGC | Muse,"21613, 336726"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,79,2,Green GoblinLGC | Lizard,"21614, 336727"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,8,2,Boomerang | Shoc,"19941, 21615"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,80,2,Green GoblinLGC | Jack O'Lantern,"21616, 336728"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,81,2,Checklist | Fake Parents LGC,"21617, 336729"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Gold Foil Signature Series,11950,9,2,Ben Reilly vs. Green Goblin | Burglar,"21618, 336657"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - HoloBlast,11952,5,2,Juggernaut vs. Venom | Venom vs. Juggernaut,"19955, 336762"
1995 Fleer Ultra Spider-Man,1995 Fleer Ultra Spider-Man - Masterpieces,11953,5,2,Spider Man | Spider-Man,"19961, 336768"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,1,2,Archangel | Beast,"530347, 530448"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,10,2,Forge | Psylocke,"530380, 530456"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,11,2,Jean Grey | Rogue,"530382, 530457"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,12,2,Jean Grey | Storm,"530348, 530458"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,13,2,Mr. Sinister | Wolverine,"530349, 530459"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,14,2,Forge | Sinister,"530350, 530460"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,15,2,Havok | Omega Red,"530351, 530461"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,16,2,Mystique | Rossovich,"530352, 530462"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,17,2,Random | Storm,"530353, 530463"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,18,2,Sabretooth | Storm,"530354, 530464"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,19,2,Strong Guy | Wolverine,"530355, 530465"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,2,2,Alter Beast | Beast,"530356, 530449"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,20,2,Boomer | Weapon X,"530357, 530466"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,4,2,Bishop | Cannonball,"530367, 530450"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,5,2,Cable | Cyclops,"530378, 530451"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,6,2,Gambit | X-Man,"530421, 530452"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,7,2,Cyclops | Iceman,"530413, 530453"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,8,3,Cyclops | Phoenix | Random - Leathal Weapons,"530425, 530426, 530454"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - 1995 Ultra X-Men Chromium,12178,9,2,Forge | Professor X,"530437, 530455"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,1,2,Archangel | Beast,"20377, 108975"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,10,2,Forge | Psylocke,"20378, 108984"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,11,2,Jean Grey | Rogue,"20380, 108985"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,12,2,Jean Grey | Storm,"20381, 108986"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,13,2,Mr. Sinister | Wolverine,"20382, 108987"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,14,2,Forge | Sinister,"20383, 108988"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,15,2,Havok | Omega Red,"20384, 108989"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,16,2,Mystique | Rossovich,"20385, 108990"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,17,2,Random | Storm,"20386, 108991"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,18,2,Sabretooth | Storm,"20387, 108992"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,19,2,Strong Guy | Wolverine,"20388, 108993"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,2,2,Alter Beast | Beast,"20389, 108976"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,20,2,Boomer | Weapon X,"20390, 108994"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,4,2,Bishop | Cannonball,"20411, 108978"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,5,2,Cable | Cyclops,"20422, 108979"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,6,2,Gambit | X-Man,"20433, 108980"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,7,2,Cyclops | Iceman,"20444, 108981"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,8,3,Cyclops | Phoenix | Random - Leathal Weapons,"20455, 20456, 108982"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Alternate X,7301,9,2,Forge | Professor X,"20467, 108983"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Gold Signature,7302,18,2,Sabertooth | Sabretooth,"20507, 109012"
1995 Ultra X-Men Chromium,1995 Ultra X-Men Chromium - Gold Signature,7302,62,2,Blood Scream | Bloodscream,"20556, 109056"
