main_set,current_subset,card_number,variant,card_count,card_ids,matched_subset,match_tier,move_status,suggestion
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,1,Foil Lt Fx Copper,1,78348,2024 Upper Deck Women of Marvel - Foil Lt Fx Copper,exact,target_occupied,"#1 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Copper"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,1,Foil Lt Fx Green,1,78349,2024 Upper Deck Women of Marvel - Foil Lt Fx Green,exact,target_occupied,"#1 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Green"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,1,Foil Lt Fx Gold,1,78350,2024 Upper Deck Women of Marvel - Foil Lt Fx Gold,exact,target_occupied,"#1 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Gold"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,1,Foil Lt Fx Blue,1,78351,2024 Upper Deck Women of Marvel - Foil Lt Fx Blue,exact,target_occupied,"#1 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Blue"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,11,Foil Lt Fx Copper,1,78326,2024 Upper Deck Women of Marvel - Foil Lt Fx Copper,exact,target_occupied,"#11 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Copper"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,11,Foil Lt Fx Gold,1,78328,2024 Upper Deck Women of Marvel - Foil Lt Fx Gold,exact,target_occupied,"#11 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Gold"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,11,Foil Lt Fx Blue,1,78329,2024 Upper Deck Women of Marvel - Foil Lt Fx Blue,exact,target_occupied,"#11 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Blue"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,11,Foil Lt Fx Purple,1,78340,2024 Upper Deck Women of Marvel - Foil Lt Fx Purple,exact,target_occupied,"#11 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Purple"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,11,Foil Lt Fx Green,1,78341,2024 Upper Deck Women of Marvel - Foil Lt Fx Green,exact,target_occupied,"#11 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Green"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,11,Foil Lt Fx Red,1,78342,2024 Upper Deck Women of Marvel - Foil Lt Fx Red,exact,target_occupied,"#11 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Red"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,16,Foil Lt Fx Blue,1,78331,2024 Upper Deck Women of Marvel - Foil Lt Fx Blue,exact,target_occupied,"#16 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Blue"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,16,Foil Lt Fx Red,1,78339,2024 Upper Deck Women of Marvel - Foil Lt Fx Red,exact,target_occupied,"#16 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Red"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,16,Foil Lt Fx Purple,1,78343,2024 Upper Deck Women of Marvel - Foil Lt Fx Purple,exact,target_occupied,"#16 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Purple"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,16,Foil Lt Fx Copper,1,78344,2024 Upper Deck Women of Marvel - Foil Lt Fx Copper,exact,target_occupied,"#16 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Copper"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,16,Foil Lt Fx Green,1,78345,2024 Upper Deck Women of Marvel - Foil Lt Fx Green,exact,target_occupied,"#16 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Green"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,16,Foil Lt Fx Gold,1,78346,2024 Upper Deck Women of Marvel - Foil Lt Fx Gold,exact,target_occupied,"#16 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Gold"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,2,Foil Lt Fx Purple,1,78333,2024 Upper Deck Women of Marvel - Foil Lt Fx Purple,exact,target_occupied,"#2 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Purple"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,2,Foil Lt Fx Copper,1,78334,2024 Upper Deck Women of Marvel - Foil Lt Fx Copper,exact,target_occupied,"#2 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Copper"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,2,Foil Lt Fx Green,1,78335,2024 Upper Deck Women of Marvel - Foil Lt Fx Green,exact,target_occupied,"#2 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Green"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,2,Foil Lt Fx Blue,1,78336,2024 Upper Deck Women of Marvel - Foil Lt Fx Blue,exact,target_occupied,"#2 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Blue"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,2,Foil Lt Fx Gold,1,78337,2024 Upper Deck Women of Marvel - Foil Lt Fx Gold,exact,target_occupied,"#2 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Gold"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,2,Foil Lt Fx Red,1,78338,2024 Upper Deck Women of Marvel - Foil Lt Fx Red,exact,target_occupied,"#2 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Red"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,12,Foil Lt Fx Purple,1,78356,2024 Upper Deck Women of Marvel - Foil Lt Fx Purple,exact,target_occupied,"#12 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Purple"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,12,Foil Lt Fx Copper,1,78357,2024 Upper Deck Women of Marvel - Foil Lt Fx Copper,exact,target_occupied,"#12 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Copper"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,12,Foil Lt Fx Green,1,78358,2024 Upper Deck Women of Marvel - Foil Lt Fx Green,exact,target_occupied,"#12 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Green"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,12,Foil Lt Fx Gold,1,78359,2024 Upper Deck Women of Marvel - Foil Lt Fx Gold,exact,target_occupied,"#12 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Gold"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,12,Foil Lt Fx Blue,1,78360,2024 Upper Deck Women of Marvel - Foil Lt Fx Blue,exact,target_occupied,"#12 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Blue"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,3,Foil Lt Fx Purple,1,78308,2024 Upper Deck Women of Marvel - Foil Lt Fx Purple,exact,target_occupied,"#3 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Purple"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,3,Foil Lt Fx Copper,1,78309,2024 Upper Deck Women of Marvel - Foil Lt Fx Copper,exact,target_occupied,"#3 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Copper"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,3,Foil Lt Fx Green,1,78310,2024 Upper Deck Women of Marvel - Foil Lt Fx Green,exact,target_occupied,"#3 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Green"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,3,Foil Lt Fx Gold,1,78311,2024 Upper Deck Women of Marvel - Foil Lt Fx Gold,exact,target_occupied,"#3 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Gold"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,3,Foil Lt Fx Blue,1,78312,2024 Upper Deck Women of Marvel - Foil Lt Fx Blue,exact,target_occupied,"#3 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Blue"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,4,Foil Lt Fx Green,1,78313,2024 Upper Deck Women of Marvel - Foil Lt Fx Green,exact,target_occupied,"#4 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Green"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,4,Foil Lt Fx Gold,1,78314,2024 Upper Deck Women of Marvel - Foil Lt Fx Gold,exact,target_occupied,"#4 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Gold"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,4,Foil Lt Fx Blue,1,78315,2024 Upper Deck Women of Marvel - Foil Lt Fx Blue,exact,target_occupied,"#4 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Blue"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,4,Foil Lt Fx Purple,1,78318,2024 Upper Deck Women of Marvel - Foil Lt Fx Purple,exact,target_occupied,"#4 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Purple"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,4,Foil Lt Fx Red,1,78322,2024 Upper Deck Women of Marvel - Foil Lt Fx Red,exact,target_occupied,"#4 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Red"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,5,Foil Lt Fx Purple,1,78316,2024 Upper Deck Women of Marvel - Foil Lt Fx Purple,exact,target_occupied,"#5 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Purple"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,5,Foil Lt Fx Copper,1,78317,2024 Upper Deck Women of Marvel - Foil Lt Fx Copper,exact,target_occupied,"#5 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Copper"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,5,Foil Lt Fx Gold,1,78319,2024 Upper Deck Women of Marvel - Foil Lt Fx Gold,exact,target_occupied,"#5 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Gold"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,5,Foil Lt Fx Blue,1,78320,2024 Upper Deck Women of Marvel - Foil Lt Fx Blue,exact,target_occupied,"#5 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Blue"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,5,Foil Lt Fx Red,1,78321,2024 Upper Deck Women of Marvel - Foil Lt Fx Red,exact,target_occupied,"#5 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Red"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,9,Foil Lt Fx Purple,1,78364,2024 Upper Deck Women of Marvel - Foil Lt Fx Purple,exact,target_occupied,"#9 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Purple"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,9,Foil Lt Fx Copper,1,78365,2024 Upper Deck Women of Marvel - Foil Lt Fx Copper,exact,target_occupied,"#9 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Copper"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,9,Foil Lt Fx Green,1,78366,2024 Upper Deck Women of Marvel - Foil Lt Fx Green,exact,target_occupied,"#9 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Green"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,9,Foil Lt Fx Blue,1,78367,2024 Upper Deck Women of Marvel - Foil Lt Fx Blue,exact,target_occupied,"#9 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Blue"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,9,Foil Lt Fx Gold,1,78368,2024 Upper Deck Women of Marvel - Foil Lt Fx Gold,exact,target_occupied,"#9 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Gold"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,15,Foil Lt Fx Purple,1,78324,2024 Upper Deck Women of Marvel - Foil Lt Fx Purple,exact,target_occupied,"#15 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Purple"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,15,Foil Lt Fx Red,1,78325,2024 Upper Deck Women of Marvel - Foil Lt Fx Red,exact,target_occupied,"#15 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Red"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,15,Foil Lt Fx Copper,1,78362,2024 Upper Deck Women of Marvel - Foil Lt Fx Copper,exact,target_occupied,"#15 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Copper"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,17,Foil Lt Fx Copper,1,78352,2024 Upper Deck Women of Marvel - Foil Lt Fx Copper,exact,target_occupied,"#17 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Copper"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,17,Foil Lt Fx Gold,1,78353,2024 Upper Deck Women of Marvel - Foil Lt Fx Gold,exact,target_occupied,"#17 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Gold"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,17,Foil Lt Fx Blue,1,78354,2024 Upper Deck Women of Marvel - Foil Lt Fx Blue,exact,target_occupied,"#17 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Blue"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,10,Foil Lt Fx Red,1,78330,2024 Upper Deck Women of Marvel - Foil Lt Fx Red,exact,target_occupied,"#10 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Red"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,8,Foil Lt Fx Purple,1,78361,2024 Upper Deck Women of Marvel - Foil Lt Fx Purple,exact,target_occupied,"#8 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Purple"" is held by a different card — needs manual review"
2024 Upper Deck Women of Marvel,2024 Upper Deck Women of Marvel - Battle Time,8,Foil Lt Fx Red,1,78363,2024 Upper Deck Women of Marvel - Foil Lt Fx Red,exact,target_occupied,"#8 in ""2024 Upper Deck Women of Marvel - Foil Lt Fx Red"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - 35 Years of Ghost Rider Shadowbox,1,SuperFractor,1,78770,2025 Topps Chrome Marvel - SuperFractor,exact,target_occupied,"#1 in ""2025 Topps Chrome Marvel - SuperFractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - 35 Years of Ghost Rider Shadowbox,2,SuperFractor,1,78784,2025 Topps Chrome Marvel - SuperFractor,exact,target_occupied,"#2 in ""2025 Topps Chrome Marvel - SuperFractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - 35 Years of Ghost Rider Shadowbox,3,SuperFractor,1,78777,2025 Topps Chrome Marvel - SuperFractor,exact,target_occupied,"#3 in ""2025 Topps Chrome Marvel - SuperFractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - 35 Years of Ghost Rider Shadowbox,4,SuperFractor,1,78776,2025 Topps Chrome Marvel - SuperFractor,exact,target_occupied,"#4 in ""2025 Topps Chrome Marvel - SuperFractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - 35 Years of Ghost Rider Shadowbox,5,SuperFractor,1,78790,2025 Topps Chrome Marvel - SuperFractor,exact,target_occupied,"#5 in ""2025 Topps Chrome Marvel - SuperFractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - 50 Years of Nightcrawler Superfractor,1,SuperFractor,1,78798,2025 Topps Chrome Marvel - SuperFractor,exact,target_occupied,"#1 in ""2025 Topps Chrome Marvel - SuperFractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - 50 Years of Nightcrawler Superfractor,1,Mini-Diamonds Refractor,1,78799,2025 Topps Chrome Marvel - 60 Years of S.H.I.E.L.D. Mini-Diamonds Refractor,partial,target_occupied,"#1 in ""2025 Topps Chrome Marvel - 60 Years of S.H.I.E.L.D. Mini-Diamonds Refractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - 50 Years of Nightcrawler Superfractor,2,Mini-Diamonds Refractor,1,78802,2025 Topps Chrome Marvel - 60 Years of S.H.I.E.L.D. Mini-Diamonds Refractor,partial,target_occupied,"#2 in ""2025 Topps Chrome Marvel - 60 Years of S.H.I.E.L.D. Mini-Diamonds Refractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - 50 Years of Nightcrawler Superfractor,2,SuperFractor,1,78808,2025 Topps Chrome Marvel - SuperFractor,exact,target_occupied,"#2 in ""2025 Topps Chrome Marvel - SuperFractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - 50 Years of Nightcrawler Superfractor,3,Mini-Diamonds Refractor,1,78803,2025 Topps Chrome Marvel - 60 Years of S.H.I.E.L.D. Mini-Diamonds Refractor,partial,target_occupied,"#3 in ""2025 Topps Chrome Marvel - 60 Years of S.H.I.E.L.D. Mini-Diamonds Refractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - 50 Years of Nightcrawler Superfractor,3,SuperFractor,1,78814,2025 Topps Chrome Marvel - SuperFractor,exact,target_occupied,"#3 in ""2025 Topps Chrome Marvel - SuperFractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - 50 Years of Nightcrawler Superfractor,4,Mini-Diamonds Refractor,1,78809,2025 Topps Chrome Marvel - 60 Years of S.H.I.E.L.D. Mini-Diamonds Refractor,partial,target_occupied,"#4 in ""2025 Topps Chrome Marvel - 60 Years of S.H.I.E.L.D. Mini-Diamonds Refractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - 50 Years of Nightcrawler Superfractor,4,SuperFractor,1,78815,2025 Topps Chrome Marvel - SuperFractor,exact,target_occupied,"#4 in ""2025 Topps Chrome Marvel - SuperFractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - 50 Years of Nightcrawler Superfractor,5,Mini-Diamonds Refractor,1,78810,2025 Topps Chrome Marvel - 60 Years of S.H.I.E.L.D. Mini-Diamonds Refractor,partial,target_occupied,"#5 in ""2025 Topps Chrome Marvel - 60 Years of S.H.I.E.L.D. Mini-Diamonds Refractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - 50 Years of Nightcrawler Superfractor,5,SuperFractor,1,78816,2025 Topps Chrome Marvel - SuperFractor,exact,target_occupied,"#5 in ""2025 Topps Chrome Marvel - SuperFractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Air Marvel Shadowbox,1,SuperFractor,1,78829,2025 Topps Chrome Marvel - SuperFractor,exact,target_occupied,"#1 in ""2025 Topps Chrome Marvel - SuperFractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Air Marvel Shadowbox,1,Mini-Diamonds Refractor,1,78830,2025 Topps Chrome Marvel - 60 Years of S.H.I.E.L.D. Mini-Diamonds Refractor,partial,target_occupied,"#1 in ""2025 Topps Chrome Marvel - 60 Years of S.H.I.E.L.D. Mini-Diamonds Refractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Air Marvel Shadowbox,1,Red Wave Refractor,1,78866,2025 Topps Chrome Marvel - 35 Years of Ghost Rider Red Wave Refractor,partial,target_occupied,"#1 in ""2025 Topps Chrome Marvel - 35 Years of Ghost Rider Red Wave Refractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Air Marvel Shadowbox,2,Red Wave Refractor,1,78817,2025 Topps Chrome Marvel - 35 Years of Ghost Rider Red Wave Refractor,partial,target_occupied,"#2 in ""2025 Topps Chrome Marvel - 35 Years of Ghost Rider Red Wave Refractor"" is held by a different card — needs manual review"
2025 Topps Chrome Marvel,2025 Topps Chrome Marvel - Air Marvel Shadowbox,2,SuperFractor,1,78834,2025 Topps Chrome Marvel - SuperFractor,exact,target_occupied,"#2 in ""2025 Topps Chrome Marvel - SuperFractor"" is held by a different card — needs manual review"
