Main Set,Sub Set,Card Number,Card Name,Is Insert
1996 Ultra X-Men Wolverine,Base,62,"Babies Rogue, Longshot & Dazzler",FALSE
1996 Ultra X-Men Wolverine,Base,63,Wolverine & Longshot  ,FALSE
1996 Ultra X-Men Wolverine,Base,64,Wolverine    ,FALSE
1996 Ultra X-Men Wolverine,Base,65,Bloodscream    ,FALSE
1996 Ultra X-Men Wolverine,Base,66,Donald Pierce   ,FALSE
1996 Ultra X-Men Wolverine,Base,67,Deathbird    ,FALSE
1996 Ultra X-Men Wolverine,Base,68,Wolverine vs. Sabretooth  ,FALSE
1996 Ultra X-Men Wolverine,Base,69,Brood    ,FALSE
1996 Ultra X-Men Wolverine,Base,70,Albert    ,FALSE
1996 Ultra X-Men Wolverine,Base,71,Omega Red   ,FALSE
1996 Ultra X-Men Wolverine,Base,72,Wolverine & Typhoid Mary ,FALSE
1996 Ultra X-Men Wolverine,Base,73,Wolverine    ,FALSE
1996 Ultra X-Men Wolverine,Base,74,Bishop    ,FALSE
1996 Ultra X-Men Wolverine,Base,75,Gambit    ,FALSE
1996 Ultra X-Men Wolverine,Base,76,Archangel    ,FALSE
1996 Ultra X-Men Wolverine,Base,77,Wolverine vs. Magneto  ,FALSE
1996 Ultra X-Men Wolverine,Base,78,Rogue    ,FALSE
1996 Ultra X-Men Wolverine,Base,79,Beast    ,FALSE
1996 Ultra X-Men Wolverine,Base,80,Jean Grey   ,FALSE
1996 Ultra X-Men Wolverine,Base,81,Wolverine & Jubilee  ,FALSE
1996 Ultra X-Men Wolverine,Base,82,Weapon X   ,FALSE
1996 Ultra X-Men Wolverine,Base,83,Sabretooth    ,FALSE
1996 Ultra X-Men Wolverine,Base,84,Cyclops    ,FALSE
1996 Ultra X-Men Wolverine,Base,85,Havok    ,FALSE
1996 Ultra X-Men Wolverine,Base,86,Weapon X vs. Cyclops ,FALSE
1996 Ultra X-Men Wolverine,Base,87,Magneto    ,FALSE
1996 Ultra X-Men Wolverine,Base,88,Pierce    ,FALSE
1996 Ultra X-Men Wolverine,Base,89,Apocalypse    ,FALSE
1996 Ultra X-Men Wolverine,Base,90,Weapon X & Jean Grey,FALSE
1996 Ultra X-Men Wolverine,Base,91,Wolverine    ,FALSE
1996 Ultra X-Men Wolverine,Base,92,Cannonball    ,FALSE
1996 Ultra X-Men Wolverine,Base,93,Lifeforce    ,FALSE
1996 Ultra X-Men Wolverine,Base,94,Deadbolt & Dirt Nap ,FALSE
1996 Ultra X-Men Wolverine,Base,95,Wolverine vs. Genesis  ,FALSE
1996 Ultra X-Men Wolverine,Base,96,Hurricane    ,FALSE
1996 Ultra X-Men Wolverine,Base,97,Expediter    ,FALSE
1996 Ultra X-Men Wolverine,Base,98,Spyne    ,FALSE
1996 Ultra X-Men Wolverine,Base,99,Wolverine & Elektra  ,FALSE
1996 Ultra X-Men Wolverine,Base,100,Checklist    ,FALSE
