subset,name,cardNumber,isInsert,rarity,frontImageUrl,backImageUrl,description,price
Base - Multiverse and More,Accessing The Time Ripper,98,false,,,,,
Base - Multiverse and More,Destroying All Timelines,99,false,,,,,
Base - Multiverse and More,Disrupting Cassandra's Plot,100,false,,,,,
Comic Book Gold,Deadpool,CB-1,true,,,,,
Comic Book Gold,Deadpool,CB-2,true,,,,,
Comic Book Gold,Deadpool,CB-3,true,,,,,
Comic Book Gold,Wade Wilson,CB-4,true,,,,,
Comic Book Gold,Wild Thing,CB-5,true,,,,,
Comic Book Gold,Wolverine,CB-6,true,,,,,
Comic Book Gold,Wolverine,CB-7,true,,,,,
Comic Book Gold,Wolverine,CB-8,true,,,,,
Comic Book Gold,Old Man Logan,CB-9,true,,,,,
Comic Book Gold,Weapon X,CB-10,true,,,,,
Comic Book Gold,Ultimate Wolverine,CB-11,true,,,,,
Comic Book Gold,Patch,CB-12,true,,,,,
Comic Book Gold,Cable,CB-13,true,,,,,
Comic Book Gold,Evil Deadpool,CB-14,true,,,,,
Comic Book Gold,Archangel,CB-15,true,,,,,
Comic Book Gold,Colossus,CB-16,true,,,,,
Comic Book Gold,Domino,CB-17,true,,,,,
Comic Book Gold,X-23,CB-18,true,,,,,
Comic Book Gold,Professor X,CB-19,true,,,,,
Comic Book Gold,Lady Deadpool,CB-20,true,,,,,
Comic Book Gold,Headpool,CB-21,true,,,,,
Comic Book Gold,Kidpool,CB-22,true,,,,,
Comic Book Gold,King Deadpool,CB-23,true,,,,,
Comic Book Gold,Zenpool,CB-24,true,,,,,
Comic Book Gold,Deadpool 2099,CB-25,true,,,,,
Comic Book Gold,Ultimate Deadpool,CB-26,true,,,,,
Comic Book Gold,Fantomex,CB-27,true,,,,,
Comic Book Gold,Dreadpool,CB-28,true,,,,,
Comic Book Gold,Psylocke,CB-29,true,,,,,
Comic Book Gold,Nightcrawler,CB-30,true,,,,,
Cover Stars,Deadpool / Wolverine #2,CS-1,true,,,,,
Cover Stars,Deadpool #27,CS-2,true,,,,,
Cover Stars,Deadpool & Wolverine: WWIII #3,CS-3,true,,,,,
Cover Stars,Deadpool & Wolverine: WWIII #1,CS-4,true,,,,,
Cover Stars,Deadpool #1,CS-5,true,,,,,
Cover Stars,Deadpool #4,CS-6,true,,,,,
Cover Stars,Wolverine: Deep Cut #1,CS-7,true,,,,,
Cover Stars,The Avengers #16,CS-8,true,,,,,
Cover Stars,X-Men: Heir of Apocalypse #3,CS-9,true,,,,,
Cover Stars,X-Men: Blood Hunt - Laura Kinney The Wolverine #1,CS-10,true,,,,,
Cover Stars,Hellverine #3,CS-11,true,,,,,
Cover Stars,Wolverine #20,CS-12,true,,,,,
Cover Stars,The Immortal Thor #13,CS-13,true,,,,,
Cover Stars,The Avengers #17,CS-14,true,,,,,
Cover Stars,Captain America #11,CS-15,true,,,,,
Cover Stars,Fantastic Four #22,CS-16,true,,,,,
Cover Stars,The Spectacular Spider-Men #6,CS-17,true,,,,,
Cover Stars,Spider-Gwen: The Ghost-Spider #3,CS-18,true,,,,,
Cover Stars,X-Men #2,CS-19,true,,,,,
Cover Stars,Deadpool Vs. Wolverine: Slash 'Em Up Infinity Comic #1,CS-20,true,,,,,
Cover Stars,Deadpool #1,CS-21,true,,,,,
Cover Stars,Deadpool Vs. Wolverine: Slash 'Em Up Infinity Comic #3,CS-22,true,,,,,
Cover Stars,Deadpool / Wolverine #7,CS-23,true,,,,,
Cover Stars,Deadpool / Wolverine #1,CS-24,true,,,,,
Cover Stars,Wolverine: Origins #25,CS-25,true,,,,,
Cover Stars,Wolverines & Deadpools #1,CS-26,true,,,,,
Cover Stars,Wolverines & Deadpools #1,CS-27,true,,,,,
Cover Stars,Wolverines & Deadpools #2,CS-28,true,,,,,
Cover Stars,The New Mutants #98,CS-29,true,,,,,
Cover Stars,The Incredible Hulk #181,CS-30,true,,,,,
Well You Got Nothing to Say Mouth,Deadpool,WM-01,true,,,,,
Well You Got Nothing to Say Mouth,Wolverine,WM-02,true,,,,,
Well You Got Nothing to Say Mouth,Deadpool,WM-03,true,,,,,
Well You Got Nothing to Say Mouth,Deadpool,WM-04,true,,,,,
Well You Got Nothing to Say Mouth,Deadpool,WM-05,true,,,,,
Well You Got Nothing to Say Mouth,Wolverine,WM-06,true,,,,,
Well You Got Nothing to Say Mouth,Deadpool,WM-07,true,,,,,
Well You Got Nothing to Say Mouth,Deadpool,WM-08,true,,,,,
Well You Got Nothing to Say Mouth,Cassandra Nova,WM-09,true,,,,,
Well You Got Nothing to Say Mouth,Wolverine,WM-10,true,,,,,
Future Stars,Cowboypool,FS-1,true,,,,,
Future Stars,Welshpool,FS-2,true,,,,,
Future Stars,Babypool,FS-3,true,,,,,
Future Stars,Golden Age Deadpool,FS-4,true,,,,,
Future Stars,Deadpool 2099,FS-5,true,,,,,
Future Stars,Headpool,FS-6,true,,,,,
Future Stars,Kidpool,FS-7,true,,,,,
Future Stars,Dogpool,FS-8,true,,,,,
Future Stars,Ladypool,FS-9,true,,,,,
Future Stars,Zenpool,FS-10,true,,,,,
Topps Originals,Deadpool,TO-1,true,,,,,
Topps Originals,Psylocke,TO-2,true,,,,,
Topps Originals,Lady Deadpool,TO-3,true,,,,,
Topps Originals,Juggernaut,TO-4,true,,,,,
Topps Originals,Wolverine,TO-5,true,,,,,
Topps Originals,Cable,TO-6,true,,,,,
Topps Originals,Colossus,TO-7,true,,,,,
Topps Originals,Gambit,TO-8,true,,,,,
Topps Originals,X-23,TO-9,true,,,,,
Topps Originals,Sabretooth,TO-10,true,,,,,
10005 Fire,Pyro,FO-1,true,,,,,
10005 Fire,Cassandra Nova,FO-2,true,,,,,
10005 Fire,X-23,FO-3,true,,,,,
10005 Fire,Juggernaut,FO-4,true,,,,,
10005 Fire,Colossus,FO-5,true,,,,,
10005 Fire,Sabretooth,FO-6,true,,,,,
10005 Fire,Peter,FO-7,true,,,,,
10005 Fire,Negasonic Teenage Warhead,FO-9,true,,,,,
10005 Fire,Mr. Paradox,FO-10,true,,,,,
Best Bubs,Deadpool,NC-1,true,,,,,
Best Bubs,Wolverine,NC-2,true,,,,,
Best Bubs,Blind Al,NC-3,true,,,,,
Best Bubs,Dogpool,NC-4,true,,,,,
Best Bubs,Vanessa,NC-5,true,,,,,
Best Bubs,Peter,NC-6,true,,,,,
Best Bubs,Negasonic Teenage Warhead,NC-8,true,,,,,
Best Bubs,X-23,NC-9,true,,,,,
Best Bubs,Johnny Storm,NC-10,true,,,,,
Looking for Logan,Classic Brown-and-Tan Wolverine,LL-1,true,,,,,
Looking for Logan,The Cavillrine,LL-2,true,,,,,
Looking for Logan,Short King Wolverine,LL-3,true,,,,,
Looking for Logan,Fever Dream Wolverine,LL-4,true,,,,,
Looking for Logan,Wolverine,LL-5,true,,,,,
Indestructible,Wolverine,I-1,true,,,,,
Indestructible,Dogpool,I-2,true,,,,,
Indestructible,X-23,I-3,true,,,,,
Indestructible,Juggernaut,I-4,true,,,,,
Indestructible,Deadpool,I-5,true,,,,,
Deadpool Reflections,Psylocke & Deadpool,DE-1,true,,,,,
Deadpool Reflections,Wolverine & Deadpool,DE-2,true,,,,,
Deadpool Reflections,Cable & Deadpool,DE-3,true,,,,,
Deadpool Reflections,Deadpool & Colossus,DE-4,true,,,,,
Deadpool Reflections,Wolverine & Gambit,DE-5,true,,,,,
Hidden Gems,Deadpool,HG-1,true,,,,,
Hidden Gems,Wolverine,HG-2,true,,,,,
Hidden Gems,Cassandra Nova,HG-3,true,,,,,
Hidden Gems,X-23,HG-4,true,,,,,
Hidden Gems,Pyro,HG-5,true,,,,,
The Void,Deadpool,TV-1,true,,,,,
The Void,Wolverine,TV-2,true,,,,,
The Void,Cassandra Nova,TV-3,true,,,,,
The Void,Pyro,TV-4,true,,,,,
The Void,Juggernaut,TV-5,true,,,,,
The Void,X-23,TV-6,true,,,,,
The Void,Sabretooth,TV-7,true,,,,,
The Void,Toad,TV-8,true,,,,,
The Void,Azazel,TV-9,true,,,,,
The Void,Russian,TV-10,true,,,,,
Deadpool Icons,Deadpool,DI-1,true,,,,,
Deadpool Icons,Cable,DI-2,true,,,,,
Deadpool Icons,Domino,DI-3,true,,,,,
Deadpool Icons,Gambit,DI-4,true,,,,,
Deadpool Icons,X-23,DI-5,true,,,,,
Deadpool Icons,Nightcrawler,DI-6,true,,,,,
Deadpool Icons,Elektra,DI-7,true,,,,,
Deadpool Icons,Blade,DI-8,true,,,,,
Deadpool Icons,Rogue,DI-9,true,,,,,
Deadpool Icons,Wolverine,DI-10,true,,,,,
Topps Chrome Autographs,Aaron W. Reed as Juggernaut,TC-AR,true,,,,,
Topps Chrome Autographs,Aaron Stanford as Pyro,TC-AS,true,,,,,
Topps Chrome Autographs,Billy Clements as Russian,TC-BC,true,,,,,
Topps Chrome Autographs,Brianna Hildebrand as Negasonic Teenage Warhead,TC-BH,true,,,,,
Topps Chrome Autographs,Curtis Small as Bullseye,TC-CS,true,,,,,
Topps Chrome Autographs,Dafne Keen as X-23,TC-DK,true,,,,,
Topps Chrome Autographs,Daniel Medina Ramos as Toad,TC-DR,true,,,,,
Topps Chrome Autographs,Emma Corrin as Cassandra Nova,TC-EC,true,,,,,
Topps Chrome Autographs,Eduardo Gago Muñoz as Azazel,TC-EM,true,,,,,
Topps Chrome Autographs,Henry Cavill as The Cavillrine,TC-HC,true,,,,,
Topps Chrome Autographs,Hugh Jackman as Wolverine,TC-HJ,true,,,,,
Topps Chrome Autographs,Josh Brolin as Cable,TC-JB,true,,,,,
Topps Chrome Autographs,James Dryden as TVA Tech,TC-JD,true,,,,,
Topps Chrome Autographs,Jade Lye as Lady Deathstrike,TC-JL,true,,,,,
Topps Chrome Autographs,Karan Soni as Dopinder,TC-KS,true,,,,,
Topps Chrome Autographs,Lewis Tan as Shatterstar,TC-LT,true,,,,,
Topps Chrome Autographs,Leslie Uggams as Blind Al,TC-LU,true,,,,,
Topps Chrome Autographs,Nilly Cetin as Quill,TC-NC,true,,,,,
Topps Chrome Autographs,Nathan Fillion as Headpool,TC-NF,true,,,,,
Topps Chrome Autographs,Paul Mullin as Welshpool,TC-PM,true,,,,,
Topps Chrome Autographs,Rob Delaney as Peter,TC-RB,true,,,,,
Topps Chrome Autographs,Ryan Reynolds as Deadpool,TC-RR,true,,,,,
Topps Chrome Autographs,Stefan Kapičić as Colossus,TC-SZ,true,,,,,
Topps Chrome Autographs,Terry Crews as Bedlam,TC-TC,true,,,,,
Topps Chrome Autographs,Tyler Mane as Sabretooth,TC-TM,true,,,,,
Topps Chrome Autographs,Wunmi Mosaku as B-15,TC-WB,true,,,,,
Best Bubs Autographs,Aaron Stanford as Pyro,NA-AS,true,,,,,
Best Bubs Autographs,Brianna Hildebrand as Negasonic Teenage Warhead,NA-BH,true,,,,,
Best Bubs Autographs,Chris Evans as Johnny Storm,NA-CE,true,,,,,
Best Bubs Autographs,Dafne Keen as X-23,NA-DK,true,,,,,
