Main Set,Sub Set,Card Number,Card Name,Is Insert
2026 Topps Fantastic Four: 65th Anniversary,Base,33,Over-Mind  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,34,Power Skrull ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,35,Puppet Master ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,36,Psycho-Man  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,37,Rama-Tut  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,38,Red Ghost ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,39,Ronan  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,40,Sandman  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,41,She-Thing  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,42,Spider-Man  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,43,Super-Skrull  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,44,Terrax  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,45,Thundra  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,46,Titania  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,47,Trapster  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,48,Valeria Richards ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,49,Victorious  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,50,Wizard  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,51,Adam Warlock ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,52,Agatha Harkness ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,53,Alpha  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,54,Black Bolt ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,55,Blastaar  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,56,Captain America ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,57,Dazzler  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,58,Doctor Strange ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,59,Doom 2099 ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,60,Galactus  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,61,Gorgon  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,62,Iceman  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,63,Iron Man ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,64,Jack Of Hearts,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,65,Kang  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,66,Karnak  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,67,Lockjaw  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,68,Luke Cage ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,69,Mole Man ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,70,Moon Girl ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,71,Namor  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,72,Namorita  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,73,Nathaniel Richards ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,74,Nick Fury ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,75,Nova  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,76,Scarlet Witch ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,77,Silver Surfer ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,78,Sleepwalker  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,79,Thanos  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,80,Tigra  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,81,Triton  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,82,Ultron  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,83,Vision  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,84,Wasp  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,85,The Watcher ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,86,Ant-Man  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,87,Black Panther ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,88,The Bombastic Bagman,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,89,Crystal  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,90,Doomasaur  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,91,Ghost Rider ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,92,Hulk  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,93,Invisible Man ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,94,Maker  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,95,Malice  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,96,Medusa  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,97,She-Hulk  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,98,Storm  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,99,Thor  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Base,100,Wolverine  ,FALSE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,1,Mister Fantastic ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,2,Invisible Woman ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,3,Human Torch ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,4,The Thing ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,5,Air-Walker  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,6,Alicia Masters ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,7,Artie Maddicks ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,8,Attuma  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,9,Awesome Android ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,10,Bentley-23  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,11,Beyonder  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,12,Devil Dinosaur ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,13,Diablo  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,14,Doctor Doom ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,15,Dragon Man ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,16,Ego  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,17,Fallen One ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,18,Firelord  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,19,Flux  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,20,Franklin Richards ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,21,H.E.R.B.I.E.  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,22,The High Evolutionary,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,23,Immortus  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,24,Impossible Man ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,25,Klaw  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,26,Leech  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,27,Lyja  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,28,Mad Thinker ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,29,Miss Thing ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,30,Mobius M. Mobius,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,31,Molecule Man ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,32,Morg  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,33,Over-Mind  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,34,Power Skrull ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,35,Puppet Master ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,36,Psycho-Man  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,37,Rama-Tut  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,38,Red Ghost ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,39,Ronan  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,40,Sandman  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,41,She-Thing  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,42,Spider-Man  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,43,Super-Skrull  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,44,Terrax  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,45,Thundra  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,46,Titania  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,47,Trapster  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,48,Valeria Richards ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,49,Victorious  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,50,Wizard  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,51,Adam Warlock ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,52,Agatha Harkness ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,53,Alpha  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,54,Black Bolt ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,55,Blastaar  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,56,Captain America ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,57,Dazzler  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,58,Doctor Strange ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,59,Doom 2099 ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,60,Galactus  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,61,Gorgon  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,62,Iceman  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,63,Iron Man ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,64,Jack Of Hearts,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,65,Kang  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,66,Karnak  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,67,Lockjaw  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,68,Luke Cage ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,69,Mole Man ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,70,Moon Girl ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,71,Namor  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,72,Namorita  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,73,Nathaniel Richards ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,74,Nick Fury ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,75,Nova  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,76,Scarlet Witch ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,77,Silver Surfer ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,78,Sleepwalker  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,79,Thanos  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,80,Tigra  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,81,Triton  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,82,Ultron  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,83,Vision  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,84,Wasp  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,85,The Watcher ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,86,Ant-Man  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,87,Black Panther ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,88,The Bombastic Bagman,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,89,Crystal  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,90,Doomasaur  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,91,Ghost Rider ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,92,Hulk  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,93,Invisible Man ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,94,Maker  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,95,Malice  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,96,Medusa  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,97,She-Hulk  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,98,Storm  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,99,Thor  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Refractor,100,Wolverine  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,1,Mister Fantastic ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,2,Invisible Woman ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,3,Human Torch ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,4,The Thing ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,5,Air-Walker  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,6,Alicia Masters ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,7,Artie Maddicks ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,8,Attuma  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,9,Awesome Android ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,10,Bentley-23  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,11,Beyonder  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,12,Devil Dinosaur ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,13,Diablo  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,14,Doctor Doom ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,15,Dragon Man ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,16,Ego  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,17,Fallen One ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,18,Firelord  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,19,Flux  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,20,Franklin Richards ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,21,H.E.R.B.I.E.  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,22,The High Evolutionary,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,23,Immortus  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,24,Impossible Man ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,25,Klaw  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,26,Leech  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,27,Lyja  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,28,Mad Thinker ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,29,Miss Thing ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,30,Mobius M. Mobius,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,31,Molecule Man ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,32,Morg  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,33,Over-Mind  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,34,Power Skrull ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,35,Puppet Master ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,36,Psycho-Man  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,37,Rama-Tut  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,38,Red Ghost ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,39,Ronan  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,40,Sandman  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,41,She-Thing  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,42,Spider-Man  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,43,Super-Skrull  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,44,Terrax  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,45,Thundra  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,46,Titania  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,47,Trapster  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,48,Valeria Richards ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,49,Victorious  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,50,Wizard  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,51,Adam Warlock ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,52,Agatha Harkness ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,53,Alpha  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,54,Black Bolt ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,55,Blastaar  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,56,Captain America ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,57,Dazzler  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,58,Doctor Strange ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,59,Doom 2099 ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,60,Galactus  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,61,Gorgon  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,62,Iceman  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,63,Iron Man ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,64,Jack Of Hearts,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,65,Kang  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,66,Karnak  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,67,Lockjaw  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,68,Luke Cage ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,69,Mole Man ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,70,Moon Girl ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,71,Namor  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,72,Namorita  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,73,Nathaniel Richards ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,74,Nick Fury ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,75,Nova  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,76,Scarlet Witch ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,77,Silver Surfer ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,78,Sleepwalker  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,79,Thanos  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,80,Tigra  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,81,Triton  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,82,Ultron  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,83,Vision  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,84,Wasp  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,85,The Watcher ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,86,Ant-Man  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,87,Black Panther ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,88,The Bombastic Bagman,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,89,Crystal  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,90,Doomasaur  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,91,Ghost Rider ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,92,Hulk  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,93,Invisible Man ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,94,Maker  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,95,Malice  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,96,Medusa  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,97,She-Hulk  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,98,Storm  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,99,Thor  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Blue Refractor ,100,Wolverine  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,1,Mister Fantastic ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,2,Invisible Woman ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,3,Human Torch ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,4,The Thing ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,5,Air-Walker  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,6,Alicia Masters ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,7,Artie Maddicks ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,8,Attuma  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,9,Awesome Android ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,10,Bentley-23  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,11,Beyonder  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,12,Devil Dinosaur ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,13,Diablo  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,14,Doctor Doom ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,15,Dragon Man ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,16,Ego  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,17,Fallen One ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,18,Firelord  ,TRUE
2026 Topps Fantastic Four: 65th Anniversary,Green Refractor,19,Flux  ,TRUE
