Main Set,Subset,Card Number,Card name,Is_insert
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,70,The Symbiote,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,71,The Avengers,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,72,Venom,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,73,Unmasked,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,74,Marriage,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,75,Buried Alive,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,76,Vermin,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,77,Universal Powers,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,78,Captured,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,79,Issue #300,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,80,Silver Sable,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,81,Arrogance,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,82,Spider-Man #1,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,83,Heroes,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,84,Spawn,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,85,New Rose,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,86,New Warriors,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,87,Soul of the Hunter,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,88,Parents,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,89,Spider-Man 2099,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,Base,90,Checklist CL,FALSE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,,P7,Assistant Needed,TRUE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,,P8,Stan The Man,TRUE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,,P9,Promoted,TRUE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,,P10,Creating,TRUE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,,P11,Insectman?,TRUE
1992 Comic Images Spider-Man II: 30th Anniversary 1962-1992,,P12,Moving On,TRUE
